source,artist,title,spotify_artist,spotify_title,spotify_uri,spotify_url,confidence,status,osu_beatmapset_url
local,VINXIS,Greetings,VINXIS,Greetings - Extended Mix,spotify:track:48XeGNjEVKHT1moISiOuZR,https://open.spotify.com/track/48XeGNjEVKHT1moISiOuZR,70.45,review,https://osu.ppy.sh/beatmapsets/288974
local,鹿乃,Walk This Way!,Kano Cas C.O.G,Walk this way,spotify:track:6eZP2Z0HknQtcLJHE3xpAV,https://open.spotify.com/track/6eZP2Z0HknQtcLJHE3xpAV,78.15,review,https://osu.ppy.sh/beatmapsets/914242
local,ナイトメア,the WORLD ～TVサイズ～,NIGHTMARE,the WORLD - TV Size,spotify:track:4ujXpPnwSFE6P7r4STcogU,https://open.spotify.com/track/4ujXpPnwSFE6P7r4STcogU,82.89,review,https://osu.ppy.sh/beatmapsets/438535
local,Silver Forest,ケロ⑨destiny,Silver Forest,ケロ⑨destiny,spotify:track:2c1SNBziGYKhcTM5067F18,https://open.spotify.com/track/2c1SNBziGYKhcTM5067F18,78.33,review,https://osu.ppy.sh/beatmapsets/1670776
local,鹿乃,Walk This Way! (Cut Ver.),Kano Cas C.O.G,Walk this way,spotify:track:6eZP2Z0HknQtcLJHE3xpAV,https://open.spotify.com/track/6eZP2Z0HknQtcLJHE3xpAV,78.15,review,https://osu.ppy.sh/beatmapsets/1127002
local,茶太,anesthesia,"茶太, Interface, Zts",Anesthesia,spotify:track:02fRs07xML4HrYyd4HEhAw,https://open.spotify.com/track/02fRs07xML4HrYyd4HEhAw,72.78,review,https://osu.ppy.sh/beatmapsets/1148598
